Code,Name,PermanentAddress1,PermanentAddress2,PermanentAddress3,PermanentCity,PermanentCountry,PermanentPostalcode,CorrespondanceAddress1,CorrespondanceAddress2,CorrespondanceAddress3,CorrespondanceCity,CorrespondanceCountry,CorrespondancePostalCode,Limit,ContactNumber,FaxNumber,RegistrationDate,
000082,HONG KONG KOON SUN,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000083,Y JESSI,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000084,INGI TRADING LIMITED,"UNIT 1303,13F",BEVERLY HOUSE,93-107 LOCKHART RD,"WAN CHAI , HONG KONG",PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,[8620]81533761,[8620]81533761,2019-06-11,
000085,CHIC TREND,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000086,SINCERELY,HEAD OFFICE,1 QUEENS ROAD,HONG KONG,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000087,JIEYANG CITY,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000088,BRANDFOLIO,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000089,DALE FOOTWEAR,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000090,SPAGNA SHOES,Room 488,2 area,Bu Yun Tian Global Trade Centre,Guangzhou,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,86 020 8619 2966,+8602086192766,2019-06-11,
000091,CHENGDU,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000092,CAROLIE SHOES,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000093,ZHONG HANG INT,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000094,MUIZZA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
